eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,0.0843534,
1.81878,121.629,128.609,128.609,121.629,-0.31017,-1.97329,-1.97329,-0.31017,72.6634,333.985,3.72826,-1.66312,339.851,150.335,1.81878,-2.28452,262.21,1778.58,
0.239211,76.7123,118.103,118.103,76.7123,-0.527495,-2.01479,-2.01479,-0.527495,57.9219,242.109,2.71262,-1.4873,188.705,117.136,0.239211,-1.56918,71.5748,427.524,
1.89776,156.615,179.162,179.162,156.615,1.96605,-0.776046,-0.776046,1.96605,36.8845,701.815,3.31608,1.19,152.459,78.7811,1.89776,-0.817751,148.957,435.584,
-1.76048,76.992,74.831,76.992,74.831,-1.80682,1.90569,-1.80682,1.90569,31.9344,496.604,3.56449,-0.0988681,111.915,51.8688,-1.76048,0.989902,67.4756,319.407,
1.91662,293.423,272.036,293.423,272.036,-0.485839,1.70074,-0.485839,1.70074,69.5403,935.422,3.37634,-1.2149,103.821,50.3388,1.91662,0.00988097,111.774,192.322,
-0.0857889,126.797,60.9322,126.797,60.9322,-0.452959,-0.859587,-0.452959,-0.859587,77.985,174.516,2.66197,-0.406628,250.003,160.422,-0.0857889,-1.48733,93.058,502.431,
0.491298,48.3313,187.638,187.638,48.3313,0.273675,-1.68669,-1.68669,0.273675,154.945,281.458,3.86991,-1.41301,452.824,442.591,0.491298,-1.48962,13.2271,1371.64,
1.45508,30.2337,91.6248,91.6248,30.2337,2.47801,-0.0787124,-0.0787124,2.47801,62.7487,203.233,3.38887,2.3993,256.887,226.458,1.45508,0.142885,261.879,529.665,
0.706024,113.3,107.431,113.3,107.431,-0.537006,0.467769,-0.537006,0.467769,53.4916,243.349,2.65488,0.0692369,335.471,89.8829,0.706024,-2.16819,356.663,727.506,
0.785404,47.0601,162.303,162.303,47.0601,-1.64894,0.638591,0.638591,-1.64894,207.48,248.039,0.321938,1.01035,638.52,83.6959,0.785404,-0.881632,722.182,431.881,
1.13627,30.1115,103.367,103.367,30.1115,1.70095,-0.775903,-0.775903,1.70095,112.385,190.455,1.4031,0.925047,463.228,298.427,1.13627,-1.39361,166.625,1422.03,
1.92754,39.4092,82.3494,82.3494,39.4092,-1.94118,1.32457,1.32457,-1.94118,87.6588,292.918,1.67118,0.616604,110.277,59.3982,1.92754,-0.828492,50.909,341.698,
-1.02264,385.999,175.534,385.999,175.534,0.306438,-1.53766,0.306438,-1.53766,228.971,752.645,2.79339,-1.23122,225.157,61.7483,-1.02264,0.478532,186.572,292.144,
1.3425,21.1543,91.3414,91.3414,21.1543,-0.491736,-0.725103,-0.725103,-0.491736,86.5902,72.5478,1.91192,-0.233367,506.777,382.384,1.3425,0.404844,135.607,977.528,
-2.11911,130.906,264.074,264.074,130.906,-1.53894,0.318955,0.318955,-1.53894,133.846,544.009,3.21398,1.21999,198.267,88.2232,-2.11911,-0.329714,113.894,376.831,
