eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,0.910537,
-1.03035,334.133,375.59,375.59,334.133,-0.99571,0.0351649,0.0351649,-0.99571,698.591,401.596,0.355298,0.960545,973.466,593.834,-1.03035,2.2003,1552.05,3679.32,
0.708722,584.954,53.8682,584.954,53.8682,-0.843487,1.08257,-0.843487,1.08257,537.327,526.48,2.67741,-0.239083,992.544,196.8,0.708722,-0.0186542,1116.2,526.138,
-0.215775,585.926,131.397,585.926,131.397,0.0623393,-0.572266,0.0623393,-0.572266,477.544,564.414,2.6074,-0.509927,565.203,59.7875,-0.215775,0.502695,543.801,336.669,
0.978526,157.029,94.6685,157.029,94.6685,-1.0433,1.17421,-1.0433,1.17421,90.5501,404.441,3.6868,-0.130905,332.631,42.6279,0.978526,-0.309569,290.216,289.597,
-0.839678,195.034,24.7973,195.034,24.7973,-0.626919,2.07235,-0.626919,2.07235,219.198,250.681,0.240331,-1.44543,441.331,189.334,-0.839678,1.38873,277.56,968.776,
-0.118125,271.324,817.578,817.578,271.324,0.820992,0.78842,0.78842,0.820992,722.056,815.217,2.09142,0.0325723,825.995,338.489,-0.118125,1.25672,809.228,1148.22,
-0.16861,346.562,498.078,498.078,346.562,1.06831,-0.170881,-0.170881,1.06831,374.619,934.797,3.99158,0.897424,710.641,314.798,-0.16861,-1.82436,824.432,1067.14,
0.846205,547.8,20.1486,547.8,20.1486,0.658135,1.27317,0.658135,1.27317,527.98,219.341,2.96391,-0.615036,1141.12,642.528,0.846205,0.730296,1179.37,1341.81,
0.355468,50.5213,349.009,349.009,50.5213,0.767922,0.384931,0.384931,0.767922,361.268,178.122,1.39535,0.382991,615.491,394.379,0.355468,1.12376,462.478,978.014,
-1.9834,102.014,50.0482,102.014,50.0482,1.28447,-2.04774,1.28447,-2.04774,92.5408,384.042,2.01064,-0.763267,202.879,176.812,-1.9834,2.17112,71.1696,1534.21,
0.404476,154.795,25.4824,154.795,25.4824,2.41044,1.19341,2.41044,1.19341,137.765,141.849,3.9174,1.21703,319.967,84.3321,0.404476,2.29848,265.798,471.516,
0.905187,315.589,69.3253,315.589,69.3253,-0.764847,-1.53646,-0.764847,-1.53646,290.75,278.045,4.24111,-0.771613,897.303,220.421,0.905187,-1.35397,705.504,1506.84,
1.16272,119.255,28.9106,119.255,28.9106,-1.89621,-0.117642,-1.89621,-0.117642,117.37,149.265,1.75781,1.77857,744.402,383.882,1.16272,-0.355766,396.435,1382.62,
-0.543248,74.567,33.0656,74.567,33.0656,-0.821267,1.26448,-0.821267,1.26448,42.8746,158.023,3.35879,-0.443213,609.156,460.208,-0.543248,0.548589,155.424,1219.92,
-1.13283,32.6947,59.1749,59.1749,32.6947,-0.94132,-0.950434,-0.950434,-0.94132,55.4533,73.2471,1.96763,-0.00911383,485.339,241.976,-1.13283,-0.359025,250.272,735.105,
0.445145,476.281,66.2912,476.281,66.2912,-0.560843,-0.660216,-0.560843,-0.660216,414.836,350.155,3.49929,-0.099373,492.686,380.257,0.445145,-0.152413,373.15,831.742,
1.57531,61.718,179.817,179.817,61.718,1.24249,-0.576921,-0.576921,1.24249,118.589,303.865,3.03931,0.665569,344.567,209.678,1.57531,-0.588252,168.306,878.355,
0.502525,101.848,82.9031,101.848,82.9031,0.588308,0.287129,0.588308,0.287129,51.1274,179.696,2.61886,0.30118,588.103,395.61,0.502525,-0.293117,209.487,1038.81,
0.51691,430.458,495.982,495.982,430.458,-0.996963,-0.623546,-0.623546,-0.996963,518.656,787.023,4.32252,0.373417,880.614,89.734,0.51691,-1.11945,839.235,707.596,
1.98233,90.8831,695.017,695.017,90.8831,0.0410331,-0.528553,-0.528553,0.0410331,695.465,393.725,1.63128,-0.487519,1317.8,349.733,1.98233,-0.617041,1302.15,2529.65,
-2.08777,21.2113,63.5486,63.5486,21.2113,-1.78191,-0.570143,-0.570143,-1.78191,65.3115,71.7797,1.65352,1.21177,341.798,241.037,-2.08777,-0.433586,105.015,781.413,
1.52867,187.999,291.61,291.61,187.999,0.219627,-0.888197,-0.888197,0.219627,138.534,534.12,3.53691,-0.66857,613.696,175.038,1.52867,-0.521789,772.83,811.696,
0.694319,139.563,64.8387,139.563,64.8387,-1.31532,0.50567,-1.31532,0.50567,92.1764,269.361,3.71684,0.809655,566.941,229.134,0.694319,-0.858679,340.878,948.266,
0.794988,63.1811,50.8501,63.1811,50.8501,1.34094,0.612053,1.34094,0.612053,57.5368,107.128,2.10419,0.728882,658.76,498.008,0.794988,1.60707,185.671,1237.84,
0.913652,485.556,621.04,621.04,485.556,0.583921,-0.631819,-0.631819,0.583921,813.14,1032.83,4.77833,-0.0478989,1450.41,30.9577,0.913652,-0.201495,1439.21,431.906,
