eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
-1.50868,120.464,132.416,132.416,120.464,-1.11879,-1.49831,-1.49831,-1.11879,15.6213,256.962,3.06193,-0.379511,487.295,210.023,-1.50868,-1.83407,281.89,647.102,
-0.0978823,362.497,365.858,365.858,362.497,-0.672747,-0.555157,-0.555157,-0.672747,6.38786,729.586,3.15651,0.11759,992.058,466.969,-0.0978823,0.625811,550.106,1445.77,
1.12733,351.66,171.037,351.66,171.037,-1.4705,-1.05173,-1.4705,-1.05173,181.87,500.838,3.22832,0.418778,238.907,114.573,1.12733,-1.72494,126.416,728.348,
-0.718162,57.3226,575.221,575.221,57.3226,-0.496751,0.456455,0.456455,-0.496751,525.352,395.492,3.63212,0.0402963,1232.19,97.9639,-0.718162,0.915196,1135.28,948.744,
0.721195,85.4923,379.019,379.019,85.4923,1.9793,0.991868,0.991868,1.9793,361.854,345.076,1.88495,0.98743,749.951,135.577,0.721195,1.40999,794.092,455.094,
-0.634949,208.689,355.17,355.17,208.689,0.957087,1.07765,1.07765,0.957087,297.293,480.242,2.1514,-0.120558,1236.49,696.481,-0.634949,1.10263,882.039,2509,
-0.435901,215.854,538.749,538.749,215.854,-0.491138,-0.440882,-0.440882,-0.491138,338.299,674.74,2.84456,0.050256,601.202,171.094,-0.435901,-0.0522744,430.253,658.881,
2.31681,155.624,163.83,163.83,155.624,1.82201,0.56765,0.56765,1.82201,9.3874,384.216,3.11304,1.25436,267.022,172.554,2.31681,-0.127081,108.618,791.21,
1.3203,355.696,720.415,720.415,355.696,0.569128,-0.723909,-0.723909,0.569128,842.329,969.563,1.44559,-0.15478,1657.4,1346.34,1.3203,-1.92398,1811.96,7656.14,
0.894604,114.859,101.583,114.859,101.583,-1.58515,-0.766747,-1.58515,-0.766747,199.518,123.697,0.797758,0.818402,1472.7,909.117,0.894604,-1.19577,565.595,3698.42,
-1.65561,64.1515,224.134,224.134,64.1515,-1.68482,-0.255336,-0.255336,-1.68482,171.051,297.638,2.63126,1.42949,323.116,57.1025,-1.65561,-0.892598,328.791,219.998,
1.33587,359.566,178.753,359.566,178.753,-0.793842,1.63102,-0.793842,1.63102,282.832,901.813,2.25498,-0.837174,336.066,152.948,1.33587,-0.129128,201.35,575.004,
0.640691,383.171,357.467,383.171,357.467,0.909376,-0.435793,0.909376,-0.435793,399.913,822.291,4.28048,0.473584,811.03,49.943,0.640691,-1.21231,776.563,567.908,
-1.95555,188.819,141.146,188.819,141.146,-0.41264,-1.88652,-0.41264,-1.88652,161.904,389.652,2.15419,-1.47388,190.734,147.523,-1.95555,2.02177,128.341,1243.46,
-1.60755,157.211,150.348,157.211,150.348,-1.59404,0.364976,-1.59404,0.364976,99.9074,456.408,2.48136,1.22907,537.549,126.795,-1.60755,0.311373,425.22,781.664,
1.18128,57.5487,92.9589,92.9589,57.5487,-0.681943,-1.32922,-1.32922,-0.681943,149.952,49.8747,0.176812,-0.647273,668.663,460.75,1.18128,-1.12154,465.897,1885.61,
0.23261,521.491,73.9029,521.491,73.9029,1.1543,-0.052037,1.1543,-0.052037,447.666,466.169,3.09889,1.10226,419.623,82.5739,0.23261,1.29972,370.138,398.877,
-1.21818,116.721,191.982,191.982,116.721,-1.62879,-0.270751,-0.270751,-1.62879,191.189,326.843,1.8868,1.35804,1109.21,1048.18,-1.21818,0.643914,619.313,3100.82,
1.71114,164.927,213.284,213.284,164.927,-0.888174,1.77807,1.77807,-0.888174,78.6244,758.286,2.80952,-0.889901,226.656,35.1396,1.71114,0.0894727,198.062,238.128,
0.867591,151.321,286.441,286.441,151.321,0.388235,0.116574,0.116574,0.388235,166.971,408.625,2.66597,0.271661,331.691,189.676,0.867591,-0.371656,425.642,447.708,
0.220587,34.2456,92.2296,92.2296,34.2456,-1.21265,-1.12625,-1.12625,-1.21265,66.4085,107.747,2.5573,0.0864052,513.959,109.552,0.220587,-1.51184,407.727,662.277,
2.02312,40.3577,109.979,109.979,40.3577,1.60905,-2.05959,-2.05959,1.60905,95.6378,422.699,4.17061,-0.45054,211.964,137.125,2.02312,-1.26962,136.435,910.416,
-0.0437217,58.5067,107.894,107.894,58.5067,0.320378,0.190448,0.190448,0.320378,112.188,123.328,1.76836,0.12993,720.726,691.59,-0.0437217,-1.47059,716.851,1652.1,
-0.702461,97.352,39.118,97.352,39.118,-0.692579,1.21022,-0.692579,1.21022,88.4987,171.103,4.28231,-0.517642,481.697,214.128,-0.702461,1.79608,273.492,1211.07,
0.512383,52.9759,897.938,897.938,52.9759,0.966319,-0.182936,-0.182936,0.966319,848.649,504.072,2.7773,0.783383,1078.22,678.582,0.512383,0.98029,1307.79,1252.68,
-0.23916,441.024,75.7947,441.024,75.7947,-0.0586358,-0.877539,-0.0586358,-0.877539,511.896,169.591,0.391711,-0.818903,2258.07,31.384,-0.23916,-0.196963,2233.04,533.585,
0.984987,65.0868,94.0898,94.0898,65.0868,-1.67296,0.281466,0.281466,-1.67296,66.2315,229.792,3.92214,1.39149,413.841,83.5851,0.984987,-1.19945,331.396,617.032,
0.562562,236.792,33.8347,236.792,33.8347,1.0596,-0.498785,1.0596,-0.498785,269.736,155.594,0.245749,0.56082,807.781,82.5734,0.562562,-0.819259,789.289,565.675,
-0.206733,40.6287,79.158,79.158,40.6287,-0.547646,0.0124631,0.0124631,-0.547646,42.3137,116.594,2.83192,0.535183,495.994,404.88,-0.206733,-0.685086,108.295,922.497,
0.151925,175.879,62.2798,175.879,62.2798,-0.821171,-0.247749,-0.821171,-0.247749,192.093,153.367,1.47536,0.573422,415.191,411.628,0.151925,-0.994261,323.695,910.923,
-0.664546,60.3824,23.0639,60.3824,23.0639,-2.19517,0.0832706,-2.19517,0.0832706,43.166,126.695,2.55175,2.1119,370.031,71.4821,-0.664546,-1.36826,298.558,347.297,
0.279818,22.3317,294.294,294.294,22.3317,-0.231716,-1.70522,-1.70522,-0.231716,314.545,135.494,0.450818,-1.47351,515.666,263.507,0.279818,-1.03299,417.313,838.697,
-0.506734,73.0781,82.3245,82.3245,73.0781,-0.700868,-0.300172,-0.300172,-0.700868,88.2999,131.651,1.93811,0.400696,430.86,169.343,-0.506734,0.0778954,334.007,529.823,
0.716947,38.4907,450.289,450.289,38.4907,0.374776,0.110137,0.110137,0.374776,412.025,265.259,3.24543,0.264638,849.538,337.774,0.716947,-1.26052,737.368,1560.84,
1.87403,396.973,58.9228,396.973,58.9228,0.528441,-0.78597,0.528441,-0.78597,358.593,354.722,3.94523,-0.25753,371.305,42.8033,1.87403,-0.841297,336.068,519.14,
1.82755,23.9695,161.932,161.932,23.9695,1.23096,-0.59258,-0.59258,1.23096,139.052,179.243,2.86177,0.638376,188.395,150.062,1.82755,-0.327493,121.543,540.937,
-1.16484,34.4386,121.563,121.563,34.4386,1.41129,0.748954,0.748954,1.41129,120.038,108.775,4.52567,0.66234,526.711,104.065,-1.16484,1.18199,422.883,829.557,
1.11171,211.753,318.536,318.536,211.753,1.41951,-0.145984,-0.145984,1.41951,108.492,686.575,3.06773,1.27352,385.078,107.838,1.11171,-0.633058,278.086,577.315,
-1.68582,24.2194,76.143,76.143,24.2194,-1.52537,0.56103,0.56103,-1.52537,54.713,135.926,2.73722,0.964338,702.749,132.934,-1.68582,0.595192,580.347,1050.53,
0.937822,427.362,75.1046,427.362,75.1046,-0.576376,-0.0242556,-0.576376,-0.0242556,406.546,311.816,1.93723,0.55212,469.673,92.2432,0.937822,-0.811807,488.79,498.222,
-0.649533,86.0533,793.031,793.031,86.0533,-0.430328,0.215552,0.215552,-0.430328,875.441,189.378,0.307258,0.214777,1314.94,441.853,-0.649533,-0.429265,923.015,1510.97,
-1.53981,56.6923,204.628,204.628,56.6923,-1.02792,-0.966334,-0.966334,-1.02792,250.877,73.4381,0.692813,0.0615852,762.765,73.3479,-1.53981,-0.695097,720.928,472.224,
-1.42085,109.412,297.51,297.51,109.412,-1.47954,-0.734035,-0.734035,-1.47954,238.035,357.589,2.30923,0.74551,1311.86,467.002,-1.42085,0.569526,1204.15,2251.1,
0.396397,287.872,50.2635,287.872,50.2635,-1.03154,-0.0502066,-1.03154,-0.0502066,336.349,127.649,0.289598,0.981337,1225.75,256.129,0.396397,0.00795437,998.973,1116.89,
