eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,0.0329952,
1.95773,33.8976,213.18,213.18,33.8976,1.34744,-0.245763,-0.245763,1.34744,195.463,213.09,4.0931,1.10167,275.765,67.6712,1.95773,-0.116577,241.857,417.079,
0.887482,215.357,226.046,226.046,215.357,-0.595073,0.85024,0.85024,-0.595073,71.5692,557.124,3.46372,-0.255166,202.29,38.5054,0.887482,-1.11634,179.884,263.959,
0.631732,93.2479,122.15,122.15,93.2479,-2.20676,0.65212,0.65212,-2.20676,96.702,462.154,4.03575,1.55464,266.936,93.8754,0.631732,-1.84065,197.101,583.664,
1.39101,26.2263,32.7605,32.7605,26.2263,1.33919,-2.15051,-2.15051,1.33919,58.0508,163.029,0.359004,-0.81132,106.914,53.8085,1.39101,-1.53874,60.2372,345.463,
-0.560344,63.5365,90.3036,90.3036,63.5365,-1.3656,2.38638,2.38638,-1.3656,100.491,496.669,1.75423,-1.02078,242.809,155.853,-0.560344,2.20327,88.6354,823.844,
-0.478728,223.094,81.8783,223.094,81.8783,-1.20061,2.05635,-1.20061,2.05635,158.754,711.596,3.6849,-0.855744,218.124,210.015,-0.478728,1.85936,183.61,734.173,
1.31381,314.797,69.0926,314.797,69.0926,0.503538,1.97297,0.503538,1.97297,249.929,375.436,3.45315,-1.46943,232.772,116.213,1.31381,1.08097,119.253,331.427,
-0.768438,296.838,109.408,296.838,109.408,-0.521102,-0.743786,-0.521102,-0.743786,210.955,349.501,2.59772,-0.222684,555.819,40.0998,-0.768438,-0.368922,521.699,295.816,
-0.754166,243.357,164.236,243.357,164.236,1.00015,-0.33183,1.00015,-0.33183,79.2664,491.816,3.16556,0.668317,196.456,52.0852,-0.754166,0.871706,154.168,268.006,
1.26627,196.16,29.4951,196.16,29.4951,1.12056,-1.62002,1.12056,-1.62002,184.262,308.911,2.05593,-0.499456,312.147,272.679,1.26627,-1.20994,43.9267,1091.1,
-2.38317,80.9129,194.266,194.266,80.9129,-2.281,-0.0303275,-0.0303275,-2.281,115.15,426.517,3.3034,2.25067,240.707,79.5333,-2.38317,-0.964795,171.528,348.48,
-0.523695,155.733,149.642,155.733,149.642,-0.866165,0.683656,-0.866165,0.683656,60.3384,397.151,3.53741,0.182509,895.033,504.771,-0.523695,0.256722,400.109,1446.33,
-1.82518,101.448,80.476,101.448,80.476,-0.320588,-0.598512,-0.320588,-0.598512,181.592,27.4875,6.16144,-0.277924,324.95,83.8493,-1.82518,-1.32354,405.277,113.388,
0.633092,138.364,98.7271,138.364,98.7271,1.28899,-2.03191,1.28899,-2.03191,108.544,629.12,2.24755,-0.742928,213.057,71.8554,0.633092,-1.95582,175.817,474.192,
2.36881,57.7208,34.626,57.7208,34.626,1.6031,-2.04819,1.6031,-2.04819,24.4576,284.571,2.96128,-0.445097,142.977,50.3903,2.36881,-1.66349,108.955,646.768,
1.42126,99.0308,183.273,183.273,99.0308,2.25208,1.35382,1.35382,2.25208,112.665,287.503,2.57889,0.898257,315.663,74.6109,1.42126,1.85446,273.811,286.527,
1.43306,62.4462,35.1646,62.4462,35.1646,-0.768408,2.35958,-0.768408,2.35958,49.7011,229.978,4.06009,-1.59117,399.044,347.119,1.43306,-0.314299,86.8778,1044.92,
-1.07641,213.65,142.955,213.65,142.955,0.760981,-1.79459,0.760981,-1.79459,221.638,642.399,1.85212,-1.03361,331.652,42.0865,-1.07641,0.1375,289.622,282.277,
