pt_l,pt_lbar,pt_l_lead,pt_l_trail,pt_ll,eta_l,eta_lbar,eta_l_lead,eta_l_trail,h_pt_l,h_pt_lbar,h_pt_l_lead,h_pt_l_trail,h_pt_ll,h_eta_l,h_eta_lbar,h_eta_l_lead,h_eta_l_trail,
0.618436,17.9668,17.9668,0.618436,18.4699,-0.75765,-0.37249,-0.37249,-0.75765,20.537,308.296,308.296,20.537,288.655,-2.06404,-1.37838,-1.37838,-2.06404,
320.703,26.3253,320.703,26.3253,294.491,2.39887,0.0514395,2.39887,0.0514395,321.297,93.7006,321.297,93.7006,243.836,2.39567,-0.666972,2.39567,-0.666972,
0.323945,6.98856,6.98856,0.323945,7.20811,4.15708,-2.15694,-2.15694,4.15708,42.6448,40.3555,42.6448,40.3555,61.5935,-1.34276,1.66567,-1.34276,1.66567,
0.0555052,0.00916391,0.0555052,0.00916391,0.0638635,-0.0389841,-0.805958,-0.0389841,-0.805958,44.364,68.2312,68.2312,44.364,51.3375,-1.7599,1.68603,1.68603,-1.7599,
7.11826,0.0311318,7.11826,0.0311318,7.14497,0.211007,0.471514,0.211007,0.471514,148.638,385.703,385.703,148.638,238.779,0.689943,-0.99322,-0.99322,0.689943,
0.0525239,0.0299051,0.0525239,0.0299051,0.0824286,-0.683069,-0.706479,-0.683069,-0.706479,77.1687,123.35,123.35,77.1687,46.2344,1.14282,-0.665515,-0.665515,1.14282,
230.254,181.313,230.254,181.313,54.8288,-0.951628,0.816201,-0.951628,0.816201,256.966,181.596,256.966,181.596,78.9734,-0.975261,0.864928,-0.975261,0.864928,
0.485146,6.54709,6.54709,0.485146,6.6219,2.95445,0.130685,0.130685,2.95445,295.397,82.9282,295.397,82.9282,220.66,0.472066,-0.188506,0.472066,-0.188506,
27.4665,0.0140631,27.4665,0.0140631,27.4731,-0.935704,2.1552,-0.935704,2.1552,35.8358,49.152,49.152,35.8358,32.6566,2.10637,-1.25495,-1.25495,2.10637,
0.0178392,53.0555,53.0555,0.0178392,53.0586,1.52453,-1.74545,-1.74545,1.52453,55.7159,163.581,163.581,55.7159,173.641,1.51642,-0.0754352,-0.0754352,1.51642,
169.367,11.2979,169.367,11.2979,180.174,-1.3236,-0.913063,-1.3236,-0.913063,170.896,68.2133,170.896,68.2133,105.894,-1.3169,1.05784,-1.3169,1.05784,
107.395,38.0944,107.395,38.0944,143.252,-1.60725,-1.41353,-1.60725,-1.41353,117.986,38.0074,117.986,38.0074,97.5783,-1.47455,-1.44125,-1.47455,-1.44125,
31.8852,11.8457,31.8852,11.8457,26.4838,-1.27909,1.31287,-1.27909,1.31287,118.317,117.04,118.317,117.04,62.4167,1.41397,-1.04346,1.41397,-1.04346,
0.0168602,0.0119809,0.0168602,0.0119809,0.0273701,-1.50625,-2.6124,-1.50625,-2.6124,20.6796,88.8452,88.8452,20.6796,107.828,-0.271892,2.03457,2.03457,-0.271892,
21.9242,12.068,21.9242,12.068,33.9668,1.09375,1.00022,1.09375,1.00022,33.8494,23.0676,33.8494,23.0676,12.6604,-2.30995,1.37203,-2.30995,1.37203,
1.99501,1.08757,1.99501,1.08757,3.08258,1.95896,1.95887,1.95896,1.95887,23.4596,36.9108,36.9108,23.4596,42.2976,-0.25147,-1.04129,-1.04129,-0.25147,
0.195301,0.17875,0.195301,0.17875,0.37404,0.613472,0.670767,0.613472,0.670767,122.95,240.249,240.249,122.95,149.938,-1.00689,1.83573,1.83573,-1.00689,
0.0102474,5.04068,5.04068,0.0102474,5.03126,-3.10096,1.31185,1.31185,-3.10096,67.3332,86.725,86.725,67.3332,36.5878,0.815467,-1.7777,-1.7777,0.815467,
20.0297,104.001,104.001,20.0297,120.879,1.1693,1.22401,1.22401,1.1693,227.405,104.122,227.405,104.122,134.095,-0.51868,1.24419,-0.51868,1.24419,
0.848367,0.0137399,0.848367,0.0137399,0.862078,-1.88329,-1.87507,-1.88329,-1.87507,105.798,222.713,222.713,105.798,169.765,1.15585,-0.105448,-0.105448,1.15585,
9.08314,0.199407,9.08314,0.199407,8.91393,1.71993,-6.10704,1.71993,-6.10704,162.748,233.305,233.305,162.748,101.673,2.00627,-1.01555,-1.01555,2.00627,
0.0273593,0.063013,0.063013,0.0273593,0.0903519,6.20218,6.06262,6.06262,6.20218,75.1555,103.436,103.436,75.1555,43.9074,-2.17366,1.43564,1.43564,-2.17366,
0.086868,0.0883772,0.0883772,0.086868,0.174045,3.16211,3.66264,3.66264,3.16211,115.545,216.083,216.083,115.545,130.192,0.602867,-2.1205,-2.1205,0.602867,
0.00111037,0.0462163,0.0462163,0.00111037,0.0453481,1.94437,0.812837,0.812837,1.94437,114.241,194.676,194.676,114.241,80.726,-1.50635,1.10692,1.10692,-1.50635,
0.547195,0.378661,0.547195,0.378661,0.925843,-0.743284,-0.745381,-0.743284,-0.745381,50.8781,207.4,207.4,50.8781,157.981,-0.445355,1.24101,1.24101,-0.445355,
