b_eta_lead,h_l_pt,h_lbar_pt,h_l_pt_lead,h_l_pt_trail,h_l_eta,h_lbar_eta,h_l_eta_lead,h_l_eta_trail,h_ll_pt,h_ll_m,h_l_abs_diff_phi,h_l_diff_abs_eta,h_b_pt_lead,h_b_pt_trail,h_b_eta_lead,h_b_eta_trail,h_bb_pt,h_bb_m,
-1.68359,42.8187,146.618,146.618,42.8187,2.61581,-0.00394,-0.00394,2.61581,148.019,296.799,1.6842,2.61187,268.302,48.0323,-1.68359,1.43318,236.95,557.874,
-0.574147,57.523,134.1,134.1,57.523,2.03265,-0.660608,-0.660608,2.03265,94.501,356.219,2.50016,1.37205,487.436,445.6,-0.574147,1.34845,222.112,1381.27,
1.39746,111.489,59.868,111.489,59.868,1.96331,-0.986383,1.96331,-0.986383,63.0596,373.997,2.69456,0.976929,186.713,138.451,1.39746,-2.0947,48.6215,950.474,
-0.00676014,21.6932,43.4736,43.4736,21.6932,-1.96409,-1.79955,-1.79955,-1.96409,60.4616,24.8342,0.813977,0.164538,327.53,161.155,-0.00676014,-1.7606,196.09,641.104,
2.15408,44.0717,123.531,123.531,44.0717,-2.07089,1.03498,1.03498,-2.07089,91.9734,361.318,2.50307,1.03591,46.6136,31.16,2.15408,-2.32548,68.9298,356.244,
0.572432,49.4021,42.7548,49.4021,42.7548,-1.74051,1.10501,-1.74051,1.10501,90.2571,180.545,0.407884,0.635492,312.93,266.901,0.572432,-1.7308,298.407,962.342,
0.189018,224.723,171.616,224.723,171.616,0.300697,-0.939818,0.300697,-0.939818,97.956,463.519,3.56385,-0.639121,552.573,39.5249,0.189018,-0.341222,527.645,287.431,
-1.70172,62.027,44.9007,62.027,44.9007,-1.61039,1.04136,-1.61039,1.04136,38.8098,209.863,2.46907,0.569034,181.57,91.9286,-1.70172,1.89914,115.895,800.748,
1.95234,154.099,75.3115,154.099,75.3115,-1.33614,1.27059,-1.33614,1.27059,84.462,424.79,2.85811,0.0655506,197.246,79.1168,1.95234,-0.587796,127.811,479.438,
1.92607,116.169,88.9082,116.169,88.9082,-1.17565,1.57245,-1.17565,1.57245,137.458,405.491,1.69237,-0.396799,247.909,142.074,1.92607,-1.92872,141.027,1314.51,
0.460031,87.208,153.054,153.054,87.208,1.08573,0.241584,0.241584,1.08573,90.5121,244.178,3.68583,0.844142,203.736,66.9131,0.460031,0.845491,154.02,229.179,
2.08414,142.696,124.309,142.696,124.309,-0.20337,1.36231,-0.20337,1.36231,66.6434,346.373,3.62731,-1.15894,257.137,137.977,2.08414,-0.682384,125.188,798.91,
-1.12406,121.36,28.3041,121.36,28.3041,-0.692729,-0.718178,-0.692729,-0.718178,93.3363,117.003,3.26512,-0.0254486,558.916,88.5806,-1.12406,0.10311,501.343,515.055,
-0.138969,127.736,184.601,184.601,127.736,1.02317,-1.36539,-1.36539,1.02317,180.097,526.396,4.32173,-0.342217,330.209,296.974,-0.138969,1.12773,443.104,620.18,
1.39286,167.409,70.9988,167.409,70.9988,-0.744795,1.80954,-0.744795,1.80954,96.5926,421.359,3.19608,-1.06474,263.831,156.388,1.39286,-0.767915,135.708,664.244,
1.31488,38.507,129.527,129.527,38.507,-0.574797,1.11011,1.11011,-0.574797,155.358,148.129,0.940878,-0.535317,407.474,127.112,1.31488,-1.05355,286.709,814.108,
1.71359,139.216,22.1817,139.216,22.1817,-1.17376,2.37257,-1.17376,2.37257,128.166,332.637,2.16283,-1.19881,161.668,57.2007,1.71359,-0.0421846,105.025,276.613,
-0.163931,281.086,253.783,281.086,253.783,0.72651,-0.567959,0.72651,-0.567959,104.994,642.063,3.5235,0.158552,170.777,127.088,-0.163931,1.36633,50.845,386.246,
-1.84803,77.1691,48.2422,77.1691,48.2422,-1.93219,2.15738,-1.93219,2.15738,29.4176,479.357,3.22932,-0.225194,146.036,104.633,-1.84803,2.35348,161.203,1013.62,
0.549508,96.3211,152.096,152.096,96.3211,0.25341,2.17938,2.17938,0.25341,98.0802,354.192,3.82114,-1.92597,109.353,90.425,0.549508,2.43784,99.5465,281.386,
-1.45198,22.4228,44.4819,44.4819,22.4228,-1.59525,2.23337,2.23337,-1.59525,40.5312,216.195,4.27849,-0.638114,180.612,107.64,-1.45198,2.40815,109.003,978.28,
-1.37111,38.6545,264.251,264.251,38.6545,-1.34605,0.774304,0.774304,-1.34605,234.248,320.632,2.50691,0.571747,136.552,32.9204,-1.37111,0.36575,116.511,181.645,
0.289354,103.159,133.31,133.31,103.159,-1.06639,-0.321094,-0.321094,-1.06639,30.6504,250.952,3.09458,0.745293,378.99,269.839,0.289354,-1.40731,109.703,884.283,
-1.65638,154.34,57.7367,154.34,57.7367,-1.76684,1.21292,-1.76684,1.21292,122.977,433.454,2.31184,0.55392,221.712,78.3424,-1.65638,1.59466,146.24,695.469,
-1.0627,365.069,377.074,377.074,365.069,-0.456637,-1.09012,-1.09012,-0.456637,402.038,668.024,1.99702,-0.633483,136.384,50.5348,-1.0627,-0.100161,128.317,161.688,
-0.770469,114.376,31.8939,114.376,31.8939,-0.502963,-0.214299,-0.502963,-0.214299,84.9602,120.344,3.48047,0.288664,121.845,45.6767,-0.770469,-1.12323,80.3266,155.132,
-1.42859,68.5709,107.029,107.029,68.5709,-2.3583,1.55992,1.55992,-2.3583,45.3286,619.261,3.42257,0.798384,168.356,131.187,-1.42859,1.92748,57.617,824.254,
-1.5135,140.615,81.2453,140.615,81.2453,0.23397,-1.12924,0.23397,-1.12924,82.792,259.03,3.68824,-0.895271,297.443,234.202,-1.5135,1.58122,457.148,1216.76,
-2.19744,33.3574,95.8252,95.8252,33.3574,0.0364039,-1.26537,-1.26537,0.0364039,70.595,133.906,2.55141,-1.22897,240.597,198.354,-2.19744,0.948443,171.638,1087.6,
-0.276546,101.218,99.2408,101.218,99.2408,-1.42898,-1.1166,-1.42898,-1.1166,71.0053,190.08,3.86548,0.312386,558.88,317.383,-0.276546,-1.59415,241.675,1033.76,
-0.759873,32.7454,28.1028,32.7454,28.1028,1.26863,-0.281354,1.26863,-0.281354,60.6094,52.1483,0.177761,0.987273,619.986,180.102,-0.759873,1.15227,572.377,928.568,
0.687909,292.124,82.6823,292.124,82.6823,0.358862,-2.16863,0.358862,-2.16863,219.467,590.245,3.56671,-1.80977,299.982,83.9323,0.687909,-1.07541,230.971,443.682,
-1.46899,130.758,45.1193,130.758,45.1193,-0.122808,-1.09463,-0.122808,-1.09463,104.044,161.655,2.352,-0.971826,117.907,70.9112,-1.46899,0.783389,47.2245,313.018,
-0.730171,194.553,347.095,347.095,194.553,0.161309,-1.01834,-1.01834,0.161309,179.101,605.55,2.77844,-0.857031,124.071,87.9376,-0.730171,0.563922,123.114,228.295,
-1.26483,23.8334,44.0343,44.0343,23.8334,-0.898979,1.51597,1.51597,-0.898979,50.3711,108.658,1.55641,-0.616993,806.434,641.866,-1.26483,0.760544,224.099,2245.16,
1.16897,160.205,62.9169,160.205,62.9169,-1.31872,1.99261,-1.31872,1.99261,97.7674,544.824,3.04528,-0.673894,316.023,95.7146,1.16897,-1.66884,229.174,760.67,
0.907082,34.9574,97.5678,97.5678,34.9574,-1.54557,1.11405,1.11405,-1.54557,97.5783,224.055,4.53258,0.431517,290.422,56.2847,0.907082,-0.817886,257.967,343.341,
-1.23166,469.805,105.375,469.805,105.375,0.214003,-1.99605,0.214003,-1.99605,364.442,745.478,3.15465,-1.78204,292.274,176.581,-1.23166,0.107846,126.339,559.403,
-0.80391,301.227,277.637,301.227,277.637,-0.545068,0.962972,-0.545068,0.962972,40.2795,750.031,3.25455,-0.417903,192.823,67.1175,-0.80391,1.142,134.749,341.43,
2.31029,108.694,30.0143,108.694,30.0143,2.48059,-1.68286,2.48059,-1.68286,89.763,463.094,2.3658,0.797732,240.615,170.235,2.31029,-0.726465,70.6626,970.795,
0.198715,131.596,525.507,525.507,131.596,-0.242305,-0.393233,-0.393233,-0.242305,404.511,519.359,3.49323,-0.150928,724.326,120.86,0.198715,1.60784,680.837,676.064,
2.0101,87.0506,34.114,87.0506,34.114,-0.547831,2.04494,-0.547831,2.04494,69.8218,209.244,4.00349,-1.49711,275.764,89.7439,2.0101,-0.745773,195.3,661.795,
-0.773793,48.5661,85.7321,85.7321,48.5661,-1.21857,2.01749,2.01749,-1.21857,37.2889,338.198,3.09472,-0.798915,116,48.7125,-0.773793,2.30453,71.0519,366.784,
-0.289987,193.231,121.892,193.231,121.892,-0.526043,0.637708,-0.526043,0.637708,194.45,311.7,4.40206,-0.111665,627.894,154.257,-0.289987,0.497794,521.443,637.876,
-1.44976,301.54,325.086,325.086,301.54,-1.29773,1.04126,1.04126,-1.29773,241.239,1079.11,3.92857,0.256466,302.756,95.715,-1.44976,1.56007,315.728,768.786,
-0.999393,60.6199,72.8955,72.8955,60.6199,-1.11516,1.92747,1.92747,-1.11516,130.935,290.993,0.395563,-0.812313,398.581,134.902,-0.999393,2.04201,346.05,1089.52,
2.07276,101.661,175.951,175.951,101.661,1.92329,-1.42896,-1.42896,1.92329,77.6861,739.507,3.31165,0.494322,149.82,57.3225,2.07276,-2.29118,94.021,832.939,
1.02929,131.483,321.477,321.477,131.483,1.55809,-1.18879,-1.18879,1.55809,193.637,863.127,3.32368,0.369298,203.751,60.1956,1.02929,-0.903676,151.804,330.289,
0.932461,110.955,37.5795,110.955,37.5795,-1.28633,0.929651,-1.28633,0.929651,84.7163,212.692,3.8097,0.356679,479.312,238.794,0.932461,-2.00155,241.814,1545.95,
-0.259951,102.276,98.5409,102.276,98.5409,-0.643894,-1.78803,-0.643894,-1.78803,75.228,222.182,3.90869,-1.14413,392.995,166.791,-0.259951,-1.99333,254.5,708.555,
-1.22604,63.9846,98.0069,98.0069,63.9846,-1.42684,1.69346,1.69346,-1.42684,36.1591,393.351,3.29639,-0.26662,196.828,85.1944,-1.22604,1.10312,119.768,454.928,
0.826886,38.9929,155.352,155.352,38.9929,0.865298,-2.0371,-2.0371,0.865298,133.589,344.235,2.2712,-1.1718,306.696,162.494,0.826886,-2.31545,201.412,1112.92,
-2.10335,241.654,218.906,241.654,218.906,-2.35931,-0.143066,-2.35931,-0.143066,38.1538,771.923,3.27487,2.21624,100.101,90.6189,-2.10335,-0.697044,39.588,238.079,
