b_eta_lead,h_l_pt,h_lbar_pt,h_l_pt_lead,h_l_pt_trail,h_l_eta,h_lbar_eta,h_l_eta_lead,h_l_eta_trail,h_ll_pt,h_ll_m,h_l_abs_diff_phi,h_l_diff_abs_eta,h_b_pt_lead,h_b_pt_trail,h_b_eta_lead,h_b_eta_trail,h_bb_pt,h_bb_m,
-0.707447,21.3401,301.976,301.976,21.3401,-1.89296,-1.31002,-1.31002,-1.89296,281.405,166.124,2.88188,0.582943,380.168,50.7394,-0.707447,-0.185417,342.176,272.573,
-1.34795,53.0521,38.3439,53.0521,38.3439,-1.299,1.47478,-1.299,1.47478,44.6382,187.098,2.16931,-0.175774,254.228,120.582,-1.34795,0.934576,152.421,599.739,
-0.434261,144.275,370.733,370.733,144.275,0.722678,-1.01398,-1.01398,0.722678,230.153,646.859,2.96376,-0.291298,88.2777,69.2597,-0.434261,0.16695,38.6202,160.375,
-0.88239,75.6657,123.964,123.964,75.6657,1.15564,-0.656648,-0.656648,1.15564,48.388,278.798,3.17203,0.498989,141.842,68.2335,-0.88239,2.1588,85.9693,469.609,
-1.50434,254.029,180.073,254.029,180.073,-0.969168,0.870413,-0.969168,0.870413,76.7361,621.484,3.23732,0.0987546,151.938,105.761,-1.50434,0.773198,69.5586,433.539,
-0.547264,93.2124,74.4254,93.2124,74.4254,0.544069,-0.1994,0.544069,-0.1994,37.8765,175.164,2.74411,0.344669,173.649,50.3298,-0.547264,0.206932,138.035,191.058,
0.216174,157.543,91.4177,157.543,91.4177,-1.17622,0.813781,-1.17622,0.813781,67.3112,368.748,3.24646,0.362441,328.729,147.338,0.216174,-0.759066,201.473,485.805,
-1.49635,120.287,37.5788,120.287,37.5788,-1.39152,-1.31506,-1.39152,-1.31506,100.325,121.996,4.01354,0.0764633,267.72,78.0419,-1.49635,-1.29042,200.439,283.628,
1.17797,109.733,130.16,130.16,109.733,1.34847,-1.07001,-1.07001,1.34847,41.4736,434.644,2.83842,0.278459,127.053,109.42,1.17797,-1.28903,129.642,420.079,
-1.70906,37.7705,23.1692,37.7705,23.1692,-2.20771,1.37418,-2.20771,1.37418,18.2205,181.957,2.77105,0.833522,97.0549,76.7555,-1.70906,1.2728,62.7207,398.536,
-0.226441,21.6205,35.2173,35.2173,21.6205,-0.235712,-1.0181,-1.0181,-0.235712,43.9623,42.2878,1.42252,-0.782392,456.953,281.306,-0.226441,-0.532512,180.01,724.487,
-0.988391,120.187,229.235,229.235,120.187,-1.03031,1.88646,1.88646,-1.03031,143.679,746.342,3.71296,-0.85615,303.863,147.463,-0.988391,1.6879,198.109,853.908,
1.17494,212.936,66.0861,212.936,66.0861,-0.511457,1.17557,-0.511457,1.17557,152.477,324.194,3.48929,-0.664112,258.019,58.5834,1.17494,-1.29524,199.946,458.497,
-2.18698,68.0898,132.253,132.253,68.0898,1.3191,-0.0797834,-0.0797834,1.3191,82.6472,232.371,3.69769,1.23932,198.482,64.9755,-2.18698,-0.241745,193.302,314.24,
-0.673389,164.16,213.186,213.186,164.16,1.99613,-1.11159,-1.11159,1.99613,75.5397,922.565,2.83317,0.884543,174.13,159.865,-0.673389,1.78367,43.5377,617.558,
0.697538,69.3158,100.958,100.958,69.3158,-2.23774,1.43246,1.43246,-2.23774,52.1595,535.905,2.64069,0.805277,60.8598,43.3033,0.697538,-1.7426,69.1747,177.159,
0.916384,90.9507,500.406,500.406,90.9507,1.67151,-0.106613,-0.106613,1.67151,437.967,586.454,3.88736,1.5649,123.496,61.5073,0.916384,-0.0238883,151.822,136.204,
1.12013,181.706,34.1209,181.706,34.1209,1.08553,-1.36357,1.08553,-1.36357,149.675,289.995,2.82366,-0.278036,252.452,232.492,1.12013,-0.823993,30.7762,731.76,
0.999101,100.297,133.826,133.826,100.297,1.16766,0.539287,0.539287,1.16766,76.7522,233.237,3.74672,0.628375,269.012,33.4672,0.999101,1.10233,238.673,186.804,
0.823122,87.5687,96.2278,96.2278,87.5687,1.05697,-0.72703,-0.72703,1.05697,22.4838,260.781,3.36812,0.329943,185.512,122.236,0.823122,-2.00275,117.387,647.858,
1.17257,89.021,73.8808,89.021,73.8808,-0.974571,0.606818,-0.974571,0.606818,58.7137,208,2.42699,0.367753,219.637,92.6036,1.17257,-0.28366,160.786,350.9,
-0.519144,362.031,141.378,362.031,141.378,-0.934189,1.19523,-0.934189,1.19523,272.537,716.458,2.4189,-0.261037,74.9828,56.1188,-0.519144,0.798564,30.3948,157.495,
0.469044,444.913,121.718,444.913,121.718,-0.768342,0.922894,-0.768342,0.922894,331.78,637.586,2.81795,-0.154551,341.852,92.615,0.469044,-0.771306,252.119,425.013,
1.22395,361.811,65.3763,361.811,65.3763,-0.483783,0.583362,-0.483783,0.583362,299.181,350.102,3.40535,-0.0995793,179.014,49.3722,1.22395,-1.06112,133.365,323.487,
1.77206,70.3328,52.0426,70.3328,52.0426,1.26759,-1.22543,1.26759,-1.22543,54.4155,221.987,2.26688,0.0421595,45.7327,34.7048,1.77206,-1.37659,72.2685,187.758,
1.39902,80.9879,50.2955,80.9879,50.2955,1.92821,-1.33968,1.92821,-1.33968,106.673,323.75,1.28581,0.588535,260.796,128.993,1.39902,-0.95388,160.059,645.097,
0.348854,73.9027,124.721,124.721,73.9027,-2.34158,-1.0189,-1.0189,-2.34158,58.151,233.854,2.84609,1.32268,92.8238,84.8302,0.348854,-2.31434,108.256,343.175,
1.50452,94.9111,28.3545,94.9111,28.3545,0.133973,-1.09447,0.133973,-1.09447,66.6825,123.88,3.22054,-0.960502,189.784,88.2526,1.50452,-0.959396,131.063,474.37,
-1.34041,79.2868,49.0207,79.2868,49.0207,-1.73512,2.4708,-1.73512,2.4708,70.1325,514.352,2.07727,-0.735683,210.692,48.1203,-1.34041,1.58154,205.425,439.962,
-1.71337,42.8187,146.618,146.618,42.8187,2.61581,-0.00394,-0.00394,2.61581,148.019,296.799,1.6842,2.61187,47.5137,43.3744,-1.71337,1.43357,37.1445,225.638,
1.3532,57.523,134.1,134.1,57.523,2.03265,-0.660608,-0.660608,2.03265,94.501,356.219,2.50016,1.37205,367.052,355.43,1.3532,-0.570545,173.788,1069.23,
-2.01622,111.489,59.868,111.489,59.868,1.96331,-0.986383,1.96331,-0.986383,63.0596,373.997,2.69456,0.976929,95.6957,86.1908,-2.01622,1.3896,10.119,515.241,
-0.0105444,21.6932,43.4736,43.4736,21.6932,-1.96409,-1.79955,-1.79955,-1.96409,60.4616,24.8342,0.813977,0.164538,235.412,130.117,-0.0105444,-1.74733,133.687,483.68,
0.580935,49.4021,42.7548,49.4021,42.7548,-1.74051,1.10501,-1.74051,1.10501,90.2571,180.545,0.407884,0.635492,248.039,218.624,0.580935,-1.72707,240.247,776.11,
-1.66879,62.027,44.9007,62.027,44.9007,-1.61039,1.04136,-1.61039,1.04136,38.8098,209.863,2.46907,0.569034,89.8317,83.0572,-1.66879,1.88088,47.8712,522.176,
1.95761,154.099,75.3115,154.099,75.3115,-1.33614,1.27059,-1.33614,1.27059,84.462,424.79,2.85811,0.0655506,171.677,44.4224,1.95761,-0.628203,130.387,341.525,
-1.92775,116.169,88.9082,116.169,88.9082,-1.17565,1.57245,-1.17565,1.57245,137.458,405.491,1.69237,-0.396799,115.948,79.5306,-1.92775,1.81031,49.832,636.461,
0.456269,87.208,153.054,153.054,87.208,1.08573,0.241584,0.241584,1.08573,90.5121,244.178,3.68583,0.844142,172.203,56.5007,0.456269,0.832471,130.158,192.078,
2.08474,142.696,124.309,142.696,124.309,-0.20337,1.36231,-0.20337,1.36231,66.6434,346.373,3.62731,-1.15894,235.605,110.129,2.08474,-0.682221,129.435,682.346,
-1.05759,121.36,28.3041,121.36,28.3041,-0.692729,-0.718178,-0.692729,-0.718178,93.3363,117.003,3.26512,-0.0254486,332.628,67.8923,-1.05759,0.094685,294.986,327.316,
-0.13195,127.736,184.601,184.601,127.736,1.02317,-1.36539,-1.36539,1.02317,180.097,526.396,4.32173,-0.342217,277.043,137.08,-0.13195,1.1311,328.276,364.588,
1.39108,167.409,70.9988,167.409,70.9988,-0.744795,1.80954,-0.744795,1.80954,96.5926,421.359,3.19608,-1.06474,249.951,59.4114,1.39108,-0.674557,196.041,383.28,
1.35275,38.507,129.527,129.527,38.507,-0.574797,1.11011,1.11011,-0.574797,155.358,148.129,0.940878,-0.535317,149.867,65.9782,1.35275,-0.997746,86.6758,352.32,
-0.1589,281.086,253.783,281.086,253.783,0.72651,-0.567959,0.72651,-0.567959,104.994,642.063,3.5235,0.158552,129.537,30.4146,-0.1589,1.55135,99.4112,174.487,
-1.84148,77.1691,48.2422,77.1691,48.2422,-1.93219,2.15738,-1.93219,2.15738,29.4176,479.357,3.22932,-0.225194,118.729,100.927,-1.84148,2.35551,139.447,895.453,
-1.44281,22.4228,44.4819,44.4819,22.4228,-1.59525,2.23337,2.23337,-1.59525,40.5312,216.195,4.27849,-0.638114,144.328,97.9354,-1.44281,2.40379,81.9413,828.32,
-1.36,38.6545,264.251,264.251,38.6545,-1.34605,0.774304,0.774304,-1.34605,234.248,320.632,2.50691,0.571747,122.043,32.9204,-1.36,0.36575,102.718,170.202,
0.288543,103.159,133.31,133.31,103.159,-1.06639,-0.321094,-0.321094,-1.06639,30.6504,250.952,3.09458,0.745293,354.218,228.319,0.288543,-1.39892,126.342,783.52,
-1.66234,154.34,57.7367,154.34,57.7367,-1.76684,1.21292,-1.76684,1.21292,122.977,433.454,2.31184,0.55392,146.35,76.2059,-1.66234,1.60026,74.6443,559.921,
-1.05381,365.069,377.074,377.074,365.069,-0.456637,-1.09012,-1.09012,-0.456637,402.038,668.024,1.99702,-0.633483,98.0205,41.6083,-1.05381,-0.108694,93.3175,122.051,
