eta_l
-2.03783
2.39887
-1.31275
-1.66435
0.693286
0.946359
-0.951628
0.587784
2.0199
-1.3236
-1.49577
-1.60725
1.38621
-1.84293
-0.0277655
-0.999878
0.938735
-0.460732
1.18332
2.0066
-2.16466
0.525883
-1.41255
1.11406
-1.3948
-0.0957658
2.32102
1.07348
1.70989
0.731493
1.27082
-1.70358
1.29954
0.86826
-1.48085
-0.778603
-0.460891
-0.504567
1.32677
-0.897561
-2.31715
1.10658
2.27386
0.0171335
0.0991077
-0.318635
1.57665
-1.91009
2.73158
2.09148
-1.75249
1.87572
0.395441
-1.94058
-1.87338
0.277207
-2.12377
-1.75784
-1.95364
1.88905
-1.1377
-0.705155
0.353379
-1.20541
0.7158
-0.850357
-0.138762
-0.719703
1.99185
1.54971
-0.698422
-0.306488
-1.02552
-1.03103
0.709417
1.10449
0.971802
-0.618775
1.4438
-0.0151331
-1.96128
-1.22981
-0.925848
0.299948
2.41832
0.81224
-1.45725
-1.58533
-1.29502
-1.11866
1.19128
-1.74261
-0.606191
-0.426931
-2.84285
-2.76468
0.24714
-0.461152
0.131745
-1.44809
1.26143
0.557729
-0.0817842
-0.222488
2.12602
0.738451
0.344616
-1.37613
1.00828
0.908345
0.461469
0.663573
-0.458002
2.26068
-0.172768
-1.48714
-0.346642
-0.704338
-0.0146443
-0.4272
-0.461213
-1.45509
-1.1238
1.67965
0.163532
2.33061
-1.16136
-0.668765
-1.45055
1.00091
0.912747
-2.37726
-0.428072
-1.83279
0.154604
-1.2596
0.729052
-0.117573
0.990167
-2.02727
-0.254552
1.15462
-0.953689
-0.283571
-0.34359
-1.86108
0.89134
1.09447
0.39962
1.03016
-0.29144
-1.86342
-2.25721
-0.645763
-0.316818
1.79015
1.39403
-1.17388
1.0847
-1.7388
-0.110758
0.585686
1.07275
-1.06457
2.01165
-0.000124543
-0.712025
1.68737
1.74382
-1.39093
1.96671
-1.86238
0.562982
-1.36638
-0.926252
-0.335116
1.58196
1.54086
-0.270635
-0.0228401
1.42243
0.954054
0.150569
-0.289452
0.78797
-1.99281
0.708931
-1.17724
0.642666
1.09092
-2.36153
0.28064
-2.00769
-1.37739
1.55891
0.118777
-0.828665
-0.158312
-2.21916
0.0952804
-1.16554
-1.28825
1.32566
-1.11507
0.526327
-2.03693
0.980684
-0.54755
-1.01483
0.72016
0.973739
1.74102
-1.60069
-2.15963
1.38031
-0.373081
-1.70353
-0.466645
0.660582
-0.865767
1.556
-0.638213
-1.45117
-0.87216
-1.6632
-0.164522
2.02674
0.914772
0.747853
0.705767
0.903259
0.971028
-1.97083
0.709787
-2.39461
-0.173632
1.74735
0.0337197
0.889666
-2.12616
-1.10454
1.41889
-2.2985
0.280823
